"game","title"
"http://dbpedia.org/resource/Thunderstone_(card_game)","Thunderstone"
"http://dbpedia.org/resource/Warhammer_Fantasy_Battle","Warhammer Fantasy Battle"
"http://dbpedia.org/resource/Warhammer_Fantasy_Roleplay","Warhammer Fantasy Roleplay"
"http://dbpedia.org/resource/Witch_Hunter:_The_Invisible_World","Witch Hunter"
"http://dbpedia.org/resource/Wizards_(board_game)","Wizards"
"http://dbpedia.org/resource/Air_Assault_Task_Force","Air Assault Task Force"
"http://dbpedia.org/resource/Boot_Hill_(role-playing_game)","Boot Hill"
"http://dbpedia.org/resource/Dixit_(card_game)","Dixit"
"http://dbpedia.org/resource/Don't_Give_Up_the_Ship!","Don't Give Up the Ship"
"http://dbpedia.org/resource/Dread_(role-playing_game)","Dread"
"http://dbpedia.org/resource/Dust_Devils_(game)","Dust Devils"
"http://dbpedia.org/resource/GIPF_(game)","GIPF"
"http://dbpedia.org/resource/GURPS_Reign_of_Steel","GURPS Reign of Steel"
"http://dbpedia.org/resource/Goth_(board_game)","Goth"
"http://dbpedia.org/resource/Hue_(wargame)","Hue"
"http://dbpedia.org/resource/Skullduggery_(board_game)","Skullduggery"
"http://dbpedia.org/resource/Splicers","Splicers Role-Playing Game"
"http://dbpedia.org/resource/Star_Wars:_X-Wing_Miniatures_Game","Star Wars: X-Wing Miniatures Game"
"http://dbpedia.org/resource/Stonehenge_(game)","Stonehenge"
"http://dbpedia.org/resource/Tribbles_(game)","Tribbles"
"http://dbpedia.org/resource/Violence_(role-playing_game)","Violence"
"http://dbpedia.org/resource/Careers_(board_game)","Careers"
"http://dbpedia.org/resource/Get_Out_(board_game)","Get Out"
"http://dbpedia.org/resource/Marvel_Universe_Roleplaying_Game","Marvel Universe Roleplaying Game"
"http://dbpedia.org/resource/Pendragon_(role-playing_game)","Pendragon"
"http://dbpedia.org/resource/Rubik's_Brain_Racker","Rubik's Brain Racker"
"http://dbpedia.org/resource/Star_Trek:_The_Role_Playing_Game","Star Trek"
"http://dbpedia.org/resource/Star_Trek_Roleplaying_Game","Star Trek Roleplaying Game"
